,v
0,"[0, 0.0040541017320301544, 0.004592631933604284, 0.0050846232470034055, 0.005538129872788715, 0.00598776330937801, 0.006477089965205276, 0.007032575117831732, 0.007195475270026334, 0.007346213933396897, 0.007488747020518469, 0.007625134073952544, 0.007756392746734584, 0.007883017875097192, 0.008005586568566635, 0.00812517648350666, 0.00824340356379885, 0.008362325945898511, 0.008484452023545886, 0.008613479335533929, 0.00875186859971076, 0.008904765525313966, 0.009083769960713374, 0.009330666377674365, 0.009813083722435334, 0.010757126661423479, 0.011751545793598642, 0.01200363438840191, 0.01192756968102092, 0.011845337681153088, 0.011674650912561205, 0.011218954068335445, 0.010771013595993148, 0.010254379056108145, 0.009767177736995928, 0.00905320802143306, 0.008650354550409477, 0.004772803728247666, 0.013418113996545213, 0.0174874260946145, 0.014857524108712742, 0.015508594072338401, 0.011549933288784108, 0.013100730094055142, 0.009518313263060149, 0.011769139275438819, 0.008134682168999619, 0.007434077458253861, 0.010363589431401936, 0.010865993550155217, 0.011637258984269936, 0.011646660941337508, 0.010447755260561286, 0.010958224023013453, 0.010537599959100398, 0.013063054990251687, 0.012518986079525665, 0.01095450239119659, 0.011713977879024954, 0.009593707173898899]"
1,"[0, 0.0023210180309708927, 0.0028356597984500525, 0.0029776981388573345, 0.0030666321011402972, 0.003148546534546016, 0.0032423906649720613, 0.0033530914320561026, 0.003265004309228421, 0.003178166428614667, 0.0030946256279452194, 0.0030155931300933614, 0.0029413071308044586, 0.002871145874066572, 0.00280431487164789, 0.002741571183754354, 0.002691077725956782, 0.0027405166528590708, 0.004728575362522112, 0.004775041600144368, 0.004729184995356931, 0.004673862576074152, 0.0046263042630242295, 0.004613633120970311, 0.00472193728018562, 0.005058807435219705, 0.005431987001414387, 0.005493090100096545, 0.005449058723223696, 0.005449715106544367, 0.005449183513248979, 0.005354293378918673, 0.005275716337970358, 0.005209580024639534, 0.005150754593444354, 0.0050998316108911, 0.005052866646363653, 0.005016409318356327, 0.004993095558648367, 0.0041435095494426494, 0.003284313046717983, 0.0036352811763439657, 0.002580113113082801, 0.003314374867388917, 0.00222226370684941, 0.0031850908644496614, 0.0018548663787781555, 0.003581829619782958, 0.004292975288805322, 0.0028686588602831733, 0.00248502855230054, 0.0029590853889478797, 0.0019836266631271674, 0.00324872387426115, 0.0021533806642993177, 0.0034447228169650554, 0.0025859761033454336, 0.0030134746501972176, 0.0027057704878335727, 0.0023186075643078386]"
2,"[0, 0.01286466599655187, 0.01307722419246511, 0.013274445709529369, 0.013470341082984259, 0.013685716937778326, 0.013955475181229035, 0.014286135316683397, 0.013769469896755154, 0.013283818233288235, 0.012840602223009957, 0.012442223699940745, 0.012085649467894121, 0.011765496194484795, 0.011475911604153602, 0.011212035953201601, 0.01097072465310745, 0.010750449460929961, 0.010551048966895668, 0.010376226750775463, 0.010224337357778383, 0.010098793124465197, 0.01001027528187537, 0.010001293319096598, 0.01024179782213421, 0.010941490159002969, 0.011647672925034054, 0.011588084429998573, 0.011234394162324716, 0.010906981950442722, 0.010565241110512267, 0.010009243910932834, 0.009543489781846357, 0.009154547283466114, 0.0088636622925169, 0.009052164344571288, 0.011992753898357963, 0.0033403137004068793, 0.011172560552279902, 0.01060225420444068, 0.012109557687319828, 0.012641036968838055, 0.010891830083225263, 0.009049822311175558, 0.010491178084335038, 0.014209304250934902, 0.009678911793585463, 0.0023071101502986783, 0.009964403960966, 0.014099096441384969, 0.013164136890331751, 0.014474731463510904, 0.009362311009969246, 0.0101370988869224, 0.012396157527411985, 0.014486485068975652, 0.014528143475599616, 0.013112161541539357, 0.013680508010724138, 0.011353114056229336]"
3,"[0, 0.0013011125916561185, 0.0017796266930239807, 0.0021412749180148094, 0.002439774425844341, 0.002732028674471357, 0.003051660833400781, 0.003417019331069546, 0.0036023909535657815, 0.003779664714371275, 0.0039497840225830375, 0.004112764646026732, 0.004268006098550461, 0.004414921066846045, 0.004553843996628892, 0.004686208526738136, 0.004814050803839738, 0.0049396376683374646, 0.005065385467807268, 0.005193581280579549, 0.0053277323665910075, 0.005472137509986091, 0.005635257258888505, 0.005844881496417632, 0.006209866295427388, 0.0068818488671246415, 0.007606415937932019, 0.007868681843754426, 0.007925651906311611, 0.007992598676843966, 0.00801041202745417, 0.007852530782455416, 0.007699502594114032, 0.0075501974056856125, 0.00744055286976433, 0.007363927538949131, 0.007316280627426686, 0.0072595768527336756, 0.007192931766780051, 0.005981970354177508, 0.0047760455850322965, 0.005174206610985621, 0.003694299631210839, 0.004667719890247314, 0.0030891342426937686, 0.0045127440433907085, 0.002526109271174014, 0.0050503038430668185, 0.0060841975099242655, 0.005734720690201691, 0.004275908355226913, 0.007292597857519364, 0.0036527831243135613, 0.00612942865244002, 0.0037997280460623506, 0.007133594773700412, 0.005654662066113494, 0.006717917374136532, 0.005979013101422983, 0.006251771349944528]"
4,"[0, 0.00790824339762538, 0.008105088308175435, 0.008320235220393395, 0.008568763967321669, 0.008870010472332069, 0.00925277781890462, 0.009726779109220702, 0.009656862813570607, 0.00959629986759121, 0.00954511425913822, 0.00950359185817295, 0.009472166183420692, 0.009451402002054913, 0.009442116993655145, 0.00944537888905798, 0.00946237523226231, 0.00949438055984562, 0.009542991105740667, 0.009612695088198698, 0.009703229456822095, 0.009819004367407784, 0.009971940418828373, 0.010207561322028564, 0.010709465296193902, 0.011724745389171532, 0.012802244028269724, 0.013082536153121608, 0.013024318757316758, 0.012994770190666693, 0.012899801136393144, 0.012525478845981503, 0.012128315536791312, 0.011705504705296433, 0.01118234778106492, 0.010599852878055972, 0.009505023562081579, 0.00666526800070036, 0.005574819430569524, 0.010176977468731231, 0.011486826823052187, 0.010677333747447724, 0.009284662543509318, 0.009729186750441111, 0.009324591055017012, 0.011688862137359838, 0.008207699118660245, 0.0014955732375480139, 0.007258341208172006, 0.012537239026129826, 0.008996180117544255, 0.012383966993872347, 0.005469751364986864, 0.00716049343635923, 0.0077131945767696065, 0.009919494593732843, 0.010027098117272051, 0.009066177857247093, 0.010261658414803003, 0.008650931023239014]"
5,"[0, 0.0033537095726786778, 0.0037746260173307624, 0.004234178065543808, 0.004738792756753932, 0.005298549698140978, 0.005932206924714149, 0.0066506976887842385, 0.006998991482417927, 0.007307113753240288, 0.0075799715036069665, 0.007823776207074112, 0.00804548612999438, 0.00825267780241358, 0.008453063302995913, 0.008653470745432115, 0.00885948301330049, 0.009075937629499509, 0.009307617463116499, 0.0095600011022361, 0.0098393163262296, 0.010154659016733217, 0.010523782225688982, 0.01100219135644008, 0.011802649551553536, 0.013232186401018357, 0.014833746458800257, 0.01563085982623181, 0.016079489565112553, 0.016610411366844605, 0.01700747908206209, 0.017023015665388237, 0.01693496040404211, 0.016362963460479656, 0.014261412463994063, 0.011537255455929893, 0.005734376350781819, 0.00865668770773878, 0.010413839036918884, 0.003917026723198109, 0.016623725812581983, 0.015458414816370454, 0.01304594294745737, 0.013728142943654173, 0.011944033109607738, 0.01324663057651257, 0.010264556386899316, 0.012852423668202856, 0.01773778782869083, 0.01081189457019534, 0.01256990803679179, 0.011549226165534917, 0.011782322859044226, 0.0114048148414077, 0.012483988762697172, 0.013258473668983235, 0.014779123334147524, 0.0119700143472976, 0.014018476764722829, 0.009895979924504033]"
6,"[0, 0.001984724711184636, 0.002018589600124901, 0.0020482520725350417, 0.0020739101575006284, 0.0020953303964233298, 0.0021113650582380624, 0.0021114024431876494, 0.0019500134183521114, 0.0017681726731902222, 0.001613846121625408, 0.0015947122518310992, 0.0017873044936698784, 0.00211167701874134, 0.0024434113066055933, 0.002728183542281642, 0.0029629469479245767, 0.0031598957520277645, 0.0033316947039699774, 0.003487198751875719, 0.003635587302578794, 0.003784110616442242, 0.003942135360927209, 0.004132716503323638, 0.004437639299158971, 0.004970404414242739, 0.005539442196209811, 0.0057433597104415935, 0.00579687368757164, 0.005835614728510608, 0.005868056364867762, 0.005770032726584453, 0.00574301922830255, 0.005821240119146199, 0.006032721982984512, 0.006448372289212386, 0.006886114721452397, 0.007174817698778348, 0.0072605575621217415, 0.0065848155090988255, 0.00638436022659492, 0.006638124577244055, 0.005648952897358141, 0.0053502058271537685, 0.005027646287307077, 0.005180234226902333, 0.005514936696092181, 0.0022561856907464036, 0.005282224313181265, 0.010126503272153673, 0.0031086506042724564, 0.0057386778055779205, 0.002397447861609596, 0.0028806165533887375, 0.0032017293120922747, 0.0068662319294501934, 0.004486503765089568, 0.005466630088573802, 0.005037194081781316, 0.0050528447829891665]"
7,"[0, 0.004882770358611939, 0.005198559905617721, 0.005508496847432628, 0.005832691658983718, 0.006193146867930787, 0.006618186509614771, 0.007123157843880276, 0.007240060517217252, 0.0073565499928550755, 0.007474367562800063, 0.00759494238800001, 0.007719346815188315, 0.007848469235231664, 0.00798347366890473, 0.008126067220065748, 0.008278451618520128, 0.008443261365398823, 0.008623628004660053, 0.00882341117912248, 0.009047286854676834, 0.009302297620925676, 0.009603041360200168, 0.009997828054236772, 0.010675675782653573, 0.011904536609390797, 0.013257609620633723, 0.013848193236476134, 0.01411347105567954, 0.01443585540528934, 0.014716328210103762, 0.014719387882621681, 0.014751353051818699, 0.014821558221721182, 0.014915841682320323, 0.01504086016757577, 0.015176037339078808, 0.015300645356999857, 0.01545322672526171, 0.012785872166345615, 0.01200480298594632, 0.012575029031368503, 0.010435706314059516, 0.011765203298290693, 0.010773742413375895, 0.011253713932733906, 0.009339742032460352, 0.011276288617012718, 0.015228595138766962, 0.010109427767453999, 0.010353180755951508, 0.011865267065938505, 0.008947663053737195, 0.0076580987923978334, 0.009545944494895365, 0.013013539054357188, 0.011004002278163274, 0.009325547027964606, 0.010585619905138241, 0.009264050717457437]"
8,"[0, 0.014389589642421314, 0.014196345820970863, 0.014061240677505792, 0.014037290828447535, 0.014133776284198953, 0.014357139247610161, 0.014681340387514397, 0.01413673312767786, 0.013592115224867281, 0.01303919874798677, 0.012473631861359216, 0.01189367998411469, 0.01130007187758558, 0.01069613988986829, 0.010087677654795933, 0.009482711091657691, 0.008891245026420497, 0.008324651528579384, 0.007794736989101765, 0.007311035805798377, 0.006881103231923932, 0.006512024934122852, 0.0062243130023954705, 0.006104303317116327, 0.006234424583498262, 0.006303074519368871, 0.005907356725055698, 0.005336761237036351, 0.004782732098479855, 0.004154924765649921, 0.0034262623493556696, 0.0026783225987889333, 0.002148733145899255, 0.0013879038309202443, 0.0017793550586199906, 0.003699336775357456, 0.0043286330505150706, 0.013955003734851378, 0.014109197215858, 0.015023498284434536, 0.015808588226830962, 0.013752629005450996, 0.01583160940924221, 0.012305635118013414, 0.016447859830795275, 0.011575814981936172, 0.004546636782468147, 0.01388907048560344, 0.015815067789715226, 0.01718881194272865, 0.017223313897471653, 0.013389391620274874, 0.012945501090568494, 0.016163586961935067, 0.020252678177634428, 0.018255216893851577, 0.016886903759578874, 0.0161797834430884, 0.013923315713931227]"
9,"[0, 0.020220122907460992, 0.020953662168815126, 0.0217375414195989, 0.022611923464074597, 0.02363101989259762, 0.024876494934484916, 0.026380265927287917, 0.026409596806470936, 0.0264369547358763, 0.026461791302057475, 0.026483580043638398, 0.026501737145700796, 0.026515788254503844, 0.026525756619177856, 0.026532122422947436, 0.026535383966767544, 0.026535704881487897, 0.02653282230222858, 0.02652996004936382, 0.026518723448209647, 0.026489503743927993, 0.026422779739005156, 0.02629521979546492, 0.02621877804636602, 0.026772905888188443, 0.02788093959098351, 0.027678603827895738, 0.026915852431542986, 0.026264747333475544, 0.02548672036031171, 0.024182749557605014, 0.02290454619643879, 0.021608580078778392, 0.020147989028947932, 0.018367348394052855, 0.0156894815317884, 0.011978344368467942, 0.007548605691026248, 0.0157865094604274, 0.014979514612169904, 0.01629621682551637, 0.014112580241140125, 0.015281251444903284, 0.012465680591657886, 0.017073633437724806, 0.011867148286403787, 0.005166768800651543, 0.013940392115543774, 0.0163148348943025, 0.018298020126215186, 0.0176144352576693, 0.014294850522483644, 0.01522571823312439, 0.017174900730056, 0.020822515416291473, 0.01885777888343721, 0.017390112599216516, 0.01658954583666397, 0.014442896264866873]"
