,v
0,"[0, 0.007787074884518823, 0.007914467514609688, 0.008050463838332748, 0.00819637448507947, 0.008353346436708518, 0.008522355469021145, 0.008704052604711753, 0.008899983536565504, 0.009135725400023071, 0.009421890679355222, 0.00964152910095944, 0.009847526328048679, 0.010046960538706533, 0.010243547398488692, 0.010442971512860546, 0.010606031420063576, 0.010733853057468004, 0.010860836742885294, 0.010989501018849645, 0.011121434146524776, 0.011257035664926406, 0.011395613414742451, 0.011535322905095001, 0.011673989132623876, 0.01181269553033012, 0.01195001055136244, 0.012062558077667013, 0.012133458316005461, 0.011667030751881106, 0.008545707449969105, 0.0009014576288045984, 0.0038461839178793315, 0.0006831572071498541, 0.0033058086274834315, 0.0008672319780781474, 0.002602114353465439, 0.0016009397350076685, 0.0026414855492895364, 0.0015976675987146938, 0.0025914180119933627, 0.0015966171436184882, 0.0025886695215116278, 0.0016218997416999304, 0.0026156517344626136, 0.0016602498499918895, 0.0026572548617854845, 0.0017056881361853292, 0.0027062962331554988, 0.0017579215673076672, 0.002748205352959921, 0.0018236368251167987, 0.002610594243561962, 0.0021807131426438355, 0.0026564137727107273, 0.0022543887011387998, 0.002442646259120718, 0.0022152344515462144, 0.0026496740024751263, 0.0022545225313045122]"
1,"[0, 0.013602199169517654, 0.013403869931967415, 0.013391553663633574, 0.013383811500781348, 0.013377410320125028, 0.01337202064627682, 0.013368302949543803, 0.013370178236023763, 0.013418918744890134, 0.013531966162622346, 0.013546548077606855, 0.013549434905339223, 0.013553520746794877, 0.013562440310302142, 0.01357944038488555, 0.013548793048970368, 0.013469972097934447, 0.01338416420842277, 0.013291480213021001, 0.013192342176615041, 0.01308753526946462, 0.01297836564371709, 0.012866673767736064, 0.012765004019900841, 0.012820474482270895, 0.014079229474416297, 0.012974782977959102, 0.009769855360609215, 0.014244974238820547, 0.009253379756213003, 0.012986460594385187, 0.012929846949363544, 0.015682052645767778, 0.014968218470900723, 0.013904426395639704, 0.01530747441023246, 0.014219550736125151, 0.0151726425330478, 0.013999149190658299, 0.014959430511262993, 0.01384991426860984, 0.014830928267265384, 0.01377009409104401, 0.0147575157631921, 0.013729808060311944, 0.014718092110357645, 0.013719533554658683, 0.014705783975765559, 0.013759895677163018, 0.014735339177664578, 0.014076724494102745, 0.014828521164595935, 0.014208895394453998, 0.014472968534177294, 0.01426987812095876, 0.01450518201909674, 0.01423467786780199, 0.01457297056596576, 0.014290104847112526]"
2,"[0, 0.011523359285786832, 0.011562625407229906, 0.0116046850000885, 0.011650356716125408, 0.011700247348956654, 0.011755175063464041, 0.011816540121628995, 0.011888664566246905, 0.012009517604658114, 0.012196995708616822, 0.012305610018414298, 0.012414046392153913, 0.012535679395383609, 0.012675902433532773, 0.012840241191024915, 0.012978331412593991, 0.013089975968862196, 0.013215507306828966, 0.013356599730965858, 0.013514446901971181, 0.013689034732857692, 0.013878048370349665, 0.014075293895748752, 0.014270490686715681, 0.01444664466821606, 0.014591203753424964, 0.014701270069365828, 0.014735589146895198, 0.014588591083208268, 0.013881076707927, 0.0014964223206315218, 0.004762472213646032, 0.0029834342721456134, 0.0070026418321656285, 0.0066371782690243936, 0.007900064225212236, 0.007285491557329188, 0.007778908669761757, 0.006964500185663282, 0.007469416633368518, 0.00674421371351591, 0.0072890862794573585, 0.0066259855360488226, 0.007208603714078164, 0.006574605009683544, 0.007190391592923213, 0.006564534076764031, 0.00720809174489044, 0.0065839237243078795, 0.007242437765567051, 0.006657932730896691, 0.007219685628278252, 0.0067643176736536595, 0.0074284336048295405, 0.006906665044389779, 0.007252069578091472, 0.006892081234655385, 0.007571694848293456, 0.006985644713474761]"
3,"[0, 0.013869488570121507, 0.013379175772271214, 0.013102346851710502, 0.012955491563221726, 0.012852922620107596, 0.012764534268513313, 0.012680169637659774, 0.012598706531851639, 0.012555895439765182, 0.012564611891284681, 0.012470697014548669, 0.012354005705684793, 0.012223805722118635, 0.01207946415595161, 0.011918055825053906, 0.011682686536393818, 0.011363528261202321, 0.01097985128224646, 0.010506891024465524, 0.009958025451267675, 0.00985550078470957, 0.00676780260934724, 0.008209214809743766, 0.0017734214401661076, 0.011156425741963216, 0.004625115638113705, 0.015091169342253175, 0.009228998188390123, 0.015725309649483512, 0.012503898217101789, 0.018131813638255907, 0.014487496623088104, 0.018534993311514505, 0.015367861310265553, 0.016393634425905496, 0.01603207672146212, 0.016007809775110016, 0.015369890060318636, 0.015455879345766367, 0.014910186201691452, 0.015111682081179937, 0.014624224765824768, 0.01488850886662156, 0.014432763807284121, 0.014729357046549067, 0.014293107046863188, 0.014605930597020542, 0.014183490713718177, 0.014502689861976283, 0.014089285229177887, 0.014409659547837409, 0.014043984331901096, 0.014324279302189203, 0.014751398293168816, 0.014452978713479269, 0.014044763896978327, 0.014276991859220692, 0.01472455927960468, 0.014448721269834328]"
4,"[0, 0.01812652426609028, 0.018008079920378756, 0.01787469551497116, 0.01772464432865221, 0.017555556081040553, 0.017365217828629237, 0.01715249947959683, 0.016921163060948582, 0.01672263645383822, 0.016576204001641684, 0.016282868845085476, 0.01595655882473298, 0.015613506360842003, 0.015254663129758976, 0.014877294500249329, 0.014413817881443816, 0.013862606412608655, 0.013264450514945394, 0.01261090321133278, 0.011882954838922113, 0.011028725929622361, 0.00985602354732741, 0.007176745366607802, 0.00518936579754812, 0.004300312948677785, 0.013135311498824902, 0.009870271849710031, 0.016710462922169347, 0.013352761604782977, 0.020089205565186216, 0.01714029755713977, 0.02030216510092026, 0.017622756560100313, 0.020553685167136144, 0.0196287032963697, 0.020865355223264045, 0.01897095991742338, 0.019931466227124918, 0.01832259894035778, 0.019323867595583306, 0.017930687156068728, 0.01894117915061517, 0.017689502467510988, 0.018684988756604508, 0.017535090178319033, 0.01851459161905803, 0.017445569694758918, 0.018417509403055993, 0.01742456288673332, 0.018395466053272375, 0.01749265545484528, 0.018229520130784837, 0.017466032454203063, 0.018053731415698642, 0.017444182328592475, 0.01801406021751772, 0.017407081679964017, 0.01809134029142201, 0.017431069637468058]"
5,"[0, 0.005659303834629778, 0.005721664549716211, 0.005785885337907621, 0.005852131494966678, 0.005920572733716756, 0.005991429019012198, 0.006065177211537919, 0.006143775937332809, 0.006246708159133437, 0.006383585323278233, 0.006478392773132809, 0.006570975169218375, 0.006667746223385853, 0.006771002756115334, 0.006883075937457471, 0.006976172745120892, 0.007049135723678344, 0.007122815684565704, 0.007197512779006406, 0.0072735975541220205, 0.007351523892983314, 0.007431891737815451, 0.007515207355699704, 0.007601631418892079, 0.007688955706934997, 0.007778091408288091, 0.007873740016711211, 0.007956804051878248, 0.008031023374352853, 0.008108173000447248, 0.00816616947889253, 0.008102318472962736, 0.008513057274086511, 0.007721917844538931, 0.00767540663425096, 0.007701065602304468, 0.007305485266033018, 0.007489905369094595, 0.007026852003808868, 0.007369959728278455, 0.006841518344517919, 0.007328008526666683, 0.006702394827592295, 0.007329867854907235, 0.006575696280559912, 0.007354646121143814, 0.006422755793778131, 0.007375377214951658, 0.0061241783551325745, 0.007283336200964495, 0.004217529332583132, 0.005985000785268855, 0.0009716449181980109, 0.0006376849600508421, 0.00013532310329269503, 0.0002442408339724188, 8.900724621653762e-05, 0.0003762035830799107, 9.183396316661629e-05]"
6,"[0, 0.006271833371350996, 0.006280622018302193, 0.006289995981913563, 0.006300120961711054, 0.006311221712899547, 0.00632358739965255, 0.006337765319832875, 0.006355807281546902, 0.006397608993474617, 0.006472063984337837, 0.006501285295625201, 0.006526628182575324, 0.006554446789770775, 0.006586618849575246, 0.006624795236054529, 0.006641643860958284, 0.006636132574098366, 0.0066275021584070925, 0.0066145647606754825, 0.006595502187848817, 0.0065672404971025555, 0.006522858946304852, 0.006444451789753218, 0.006272580705231532, 0.005948753773140738, 0.005054120740993871, 0.00874067544339662, 0.003257911506192414, 0.004366555291151238, 0.0011170637491164633, 0.004219200704285747, 0.0014084116244510042, 0.005148745220257199, 0.0018360683478042187, 0.00353535998866065, 0.00309811969329527, 0.004114326078884344, 0.0037437511862328026, 0.004347948122383386, 0.003919978590835845, 0.004404457224363255, 0.003971451732382383, 0.004391632477166543, 0.00397155301414523, 0.004347040510897224, 0.0039501147056674605, 0.004290406118666715, 0.0039247406525881314, 0.004235135481342567, 0.003906279749145724, 0.004201335696748861, 0.00387787031426412, 0.004202075524537611, 0.00420241074167804, 0.004373175200366235, 0.004018006504380632, 0.004316530294715663, 0.0041864767369130425, 0.004342516005465032]"
7,"[0, 0.004100914841346273, 0.004139620564860436, 0.00417889040832235, 0.004218892112259021, 0.004259813606445433, 0.004301901452603409, 0.004345600501588024, 0.004392421981557917, 0.004456369147954248, 0.004544266147335774, 0.004602045551604949, 0.004658344936230972, 0.004717826068196045, 0.00478217712744794, 0.004853074391866177, 0.0049109531485010535, 0.004955093827407056, 0.005000188781974296, 0.005046391812194213, 0.005093883993582622, 0.005142881753919372, 0.005193666529816413, 0.005246440868969562, 0.005301302409089195, 0.005356465177405397, 0.005412335663549465, 0.00547198227166379, 0.005522953549387328, 0.005567606118518389, 0.005612257284484631, 0.0056430038131096, 0.005588467455345385, 0.0058609907445567305, 0.005312063992299937, 0.005283037885531544, 0.005305535189140823, 0.005036868091323571, 0.005168202261296427, 0.0048546658668878265, 0.005095203454634607, 0.00473960352882978, 0.005079023571116121, 0.004662128965237416, 0.005098782471688826, 0.0046053103307066145, 0.005146046616180527, 0.00456073107265603, 0.005219288969797842, 0.004523711250083408, 0.005317560674293334, 0.004491826543466914, 0.005392535218452805, 0.004468233776574285, 0.005447479106723906, 0.004468668004914804, 0.005509635966578463, 0.004444803740332576, 0.0056950564997603715, 0.004451287186149898]"
8,"[0, 0.010360594874119522, 0.010374198512388251, 0.010392502280235891, 0.010416925837408646, 0.010448648808044105, 0.010488889283641875, 0.0105392337443875, 0.010603704830665254, 0.010716166030770526, 0.010892561992006996, 0.011003538059351541, 0.01111836913771443, 0.011247848261630763, 0.011395037628942117, 0.011561912373521173, 0.011698163479041337, 0.011796107851444526, 0.011882527339873973, 0.011947775894559443, 0.011980779230680855, 0.01196799294329321, 0.011889122802288389, 0.011695631217377517, 0.01124478411993295, 0.009656576643950875, 0.0070965680700702406, 0.00789355379470188, 0.008040254818974408, 0.008222265066685991, 0.007656937296073263, 0.010256006270004886, 0.00853771044278464, 0.010276693778958877, 0.008564065207767601, 0.009552624490435287, 0.008729517743535442, 0.008908018756923498, 0.008099653207280129, 0.00836323238917038, 0.007671898377578184, 0.00802944115531048, 0.007378742980336021, 0.007799011046238018, 0.007163767154628761, 0.007627852376660262, 0.006998263191450791, 0.007495131771592631, 0.0068693981702058005, 0.007389645469563359, 0.006773259214665865, 0.007302562730859653, 0.00676156771047338, 0.007196773010287966, 0.007628377356562548, 0.007424090762614613, 0.006819715849100062, 0.0071352860970177465, 0.007548638432811386, 0.007407864665799954]"
9,"[0, 0.024948127328536303, 0.025004615174041817, 0.025065192483130484, 0.02513058750863183, 0.025201641633709856, 0.025279588805133233, 0.025366821321733887, 0.025471858158677346, 0.025674911859942428, 0.026012440193637923, 0.026173596070340192, 0.02632484102285393, 0.02649257885806221, 0.026685772044697822, 0.026913003237931783, 0.02706547337739038, 0.027140886023626132, 0.0272208371400747, 0.027305695079291606, 0.02739587273123849, 0.027491853892103284, 0.027594285541463655, 0.02770317281583992, 0.02781818576446282, 0.027928255307786098, 0.028034550426620872, 0.028153018192106645, 0.028220426724639893, 0.028243976400606562, 0.02824276809978981, 0.028127283847436735, 0.0274804516200816, 0.028101413008281995, 0.017669444977870617, 0.021559718519585026, 0.022091653417018266, 0.021379909787697316, 0.02125211285858995, 0.020761116731830415, 0.020730313042837383, 0.020454590936172416, 0.02046350251398731, 0.020288508485080247, 0.02031096385560032, 0.020190011661522452, 0.020216051185599684, 0.020128270252876224, 0.020155025030910774, 0.020090048615072104, 0.020118644948758167, 0.0200717879010054, 0.020088940722613163, 0.020066401151408328, 0.020034648168800656, 0.020035300302126195, 0.020030260545359526, 0.020028139686793588, 0.02001953132002282, 0.020020074660380863]"
