,v
0,"[0, 0.007453509548460997, 0.007660475177367502, 0.007862954518749686, 0.008058965193191565, 0.008248869672867368, 0.008434423883583248, 0.008617698726502391, 0.008800196450514924, 0.008982321314015452, 0.009163232383509868, 0.009341063048757328, 0.009513425132308809, 0.009678339001071299, 0.009834675487169077, 0.009982429004352771, 0.010122761088655613, 0.010257758286206366, 0.01039011609093863, 0.010522867437693989, 0.010659196942541287, 0.0108023186198299, 0.010955351158137403, 0.011121082841267897, 0.011301439833804576, 0.011496220032809552, 0.011700468890996157, 0.01190349233324512, 0.011943305306344607, 0.011842062139885588, 0.01166422838122531, 0.010720896398840793, 0.0055956862283861675, 0.0070569755496021165, 0.007090180033798364, 0.007845447967066965, 0.006030544457437171, 0.0073946780656714605, 0.006139823847738945, 0.007278035006033162, 0.006193933793119629, 0.0072264437400716705, 0.00618443946441191, 0.007162441972352125, 0.006144651006598577, 0.007048327454901402, 0.006069728998091107, 0.006467599203870883, 0.006055483944165011, 0.006333700532062459, 0.006160598784912502, 0.0062685525344966415, 0.006223331318386801, 0.00627141897538239, 0.006208510253568262, 0.006240364893650747, 0.006166329901263479, 0.006190714778428011, 0.006115922727174307, 0.006139839783454834]"
1,"[0, 0.010394847030424564, 0.010676162951655879, 0.010724171130636955, 0.010761911213050378, 0.01079835177709256, 0.010835066906996524, 0.010872578776806847, 0.010911132554726657, 0.010950876353730677, 0.01099191775632137, 0.011034334552876404, 0.01107816615159367, 0.011123691464118391, 0.011171118265482631, 0.0112206741951792, 0.01127267829678952, 0.011327567051831623, 0.011385950808297607, 0.011448731210616483, 0.011517362839224526, 0.01159451793000654, 0.01168617504437916, 0.01181094252492298, 0.012083684604215533, 0.013289096603871208, 0.013457110531620766, 0.013507143583783656, 0.013267117280718674, 0.01308547078123975, 0.012900049957107777, 0.012550287808854609, 0.007678631831191256, 0.011902479664674346, 0.013235961488109375, 0.012726729852882007, 0.010466999822345337, 0.012015167817961483, 0.010284768761554769, 0.01166710758279327, 0.010138992154439754, 0.011436593953289066, 0.009980729870799414, 0.011239385528687237, 0.009836603954383712, 0.011012864446870472, 0.00967492320178338, 0.010093104710860942, 0.00949169144170798, 0.009972079200378053, 0.009541816163593878, 0.009933634008478468, 0.009553261090406993, 0.009891113138650359, 0.009534491338803767, 0.009844576511706456, 0.00949197227340475, 0.00978305498007503, 0.009432121986108847, 0.009712998747143483]"
2,"[0, 0.013189769957035916, 0.013146431174705214, 0.013100767747099899, 0.01305230100827461, 0.013000799130488737, 0.012946032435930968, 0.012887775763526127, 0.01282581645733594, 0.012759966692617223, 0.01269008239817686, 0.012616082195911706, 0.01253779342372456, 0.012455107058583199, 0.012368681647909332, 0.01227940446424653, 0.012188658262617388, 0.01209856198427853, 0.012012202214435917, 0.011933840515723161, 0.011869052046632337, 0.011824778610745927, 0.0118093872418734, 0.011833017895287547, 0.01190866671895704, 0.012053201681972657, 0.012273361844802976, 0.012619357978877728, 0.01290660101742727, 0.013094781689272066, 0.01260840032770438, 0.012362143163764341, 0.008767009008280818, 0.012779782683292665, 0.014507724087404536, 0.012127265749348042, 0.011384684437361162, 0.011770386665595153, 0.01145777851524563, 0.01137171390282504, 0.011332346049269753, 0.011129753520210338, 0.011258994380309629, 0.0110122896777709, 0.011238931850102616, 0.010941363809490812, 0.011200144131934944, 0.01088682158846953, 0.011173352646968813, 0.011366658226187664, 0.011266756325276937, 0.01130252264464542, 0.011275261474686691, 0.011248457081866814, 0.011245618696497657, 0.011181687174668243, 0.011186611304690555, 0.011095868591923668, 0.011106222710986362, 0.01099773007607679]"
3,"[0, 0.011632869032354836, 0.011385678343190427, 0.01117828356370773, 0.011041144866270187, 0.010961301315664715, 0.010915400336288298, 0.010887296417091194, 0.010868083756680575, 0.010853014979088393, 0.010839433211590338, 0.010825698028947147, 0.01081063622548695, 0.01079333337545613, 0.010772936615442966, 0.010748498842613223, 0.010718861852069229, 0.010682464666507132, 0.010637025731471555, 0.010578976017966181, 0.010502365155474033, 0.010396501024193407, 0.010239969394540674, 0.009981574921679068, 0.009455056890244368, 0.008063487233930716, 0.007173546260337404, 0.003994173795673699, 0.011619555285124511, 0.004485455636395394, 0.011278461833225761, 0.005355043515500187, 0.011707932954894916, 0.012419638758189971, 0.0139879300537899, 0.014366152155517719, 0.01223801900844387, 0.01387769838936574, 0.012883973964963246, 0.013905625404089425, 0.01315662836829346, 0.013922566957889222, 0.013251995011564167, 0.013832219918583306, 0.013201214099627252, 0.013599925648486963, 0.013055732578065566, 0.012485474266430475, 0.012814633646463078, 0.012551593613032272, 0.012737411802798115, 0.012435668942815928, 0.012673151932812883, 0.012365601958550425, 0.012734963615526557, 0.012471485532455381, 0.012891081403324015, 0.012565280624080568, 0.01294321688118808, 0.012560746725219455]"
4,"[0, 0.017058302688457965, 0.01693018999505714, 0.016789547641280416, 0.016634660852518784, 0.016464107796803778, 0.016276526280104984, 0.016070803507633798, 0.015846328099022772, 0.015603231456974766, 0.015342508938504128, 0.015065866362994564, 0.014775167121325102, 0.01447228652441743, 0.014157930291155812, 0.01383102417002705, 0.013488728365519889, 0.013126659512573505, 0.012739318861117463, 0.012320545875175752, 0.011863721652565187, 0.011361148966586411, 0.010801263910765954, 0.010160100761371492, 0.009374204957418567, 0.008239288873674805, 0.00643315365953498, 0.008499232530512763, 0.009587126026386355, 0.010679445437624396, 0.011920266913411212, 0.011589377034104464, 0.017770809002180636, 0.017461252379359863, 0.021169213830702357, 0.018045668895381364, 0.01714838066085799, 0.016637687200259415, 0.017153184941492615, 0.01646695831850949, 0.01718607047232506, 0.016401339476964854, 0.017156579918309278, 0.016335208320493115, 0.017086383810973833, 0.016254671667372024, 0.01696752916199554, 0.016013621349061143, 0.01681602752261097, 0.01621353707956047, 0.016694338095532328, 0.01620363236659895, 0.016684828442505423, 0.016160009893029657, 0.01665401512068, 0.01611211569211128, 0.016602129377648964, 0.016055166675951256, 0.016537256158398607, 0.015991141933106315]"
5,"[0, 0.005481136119320443, 0.0055902163927983245, 0.005702423976174928, 0.005817455240840051, 0.005934920893066777, 0.006054379469657931, 0.006175367300886246, 0.006297409604495951, 0.006420031769582837, 0.006542776325357032, 0.006665223642794654, 0.006786999600709143, 0.006907815493129335, 0.007027537266116234, 0.0071461546486491535, 0.007263812550720123, 0.0073808355444267325, 0.007497751923423053, 0.007615322206846811, 0.0077345758580621635, 0.007856859949447525, 0.007983902059642582, 0.008117882858083098, 0.00826149282667446, 0.00841787046603812, 0.008590037299716483, 0.00878311366735022, 0.008858152557076672, 0.00892950754764984, 0.008939650926367048, 0.009070655798404619, 0.00907691179376556, 0.009893201703005089, 0.01000348765198587, 0.009448188847391742, 0.008649591939342715, 0.00909099164308024, 0.008596957240452244, 0.009017317293030446, 0.008534049621213635, 0.008941594431502496, 0.008421599574451898, 0.008798023648025472, 0.008220318620042723, 0.0083443798845219, 0.007446345623362523, 0.0018072318468555287, 0.0059876916641841745, 0.0048523961531999615, 0.005625224797175911, 0.005012221843480535, 0.005385707010613044, 0.005099369910522042, 0.005277952808784169, 0.005149029992862207, 0.005216408954382555, 0.0051642367928980346, 0.005171380547982399, 0.005158526048598372]"
6,"[0, 0.004523833206413038, 0.004553016951602342, 0.0045833384049757, 0.004614788144167518, 0.004647469300459214, 0.004681483754717698, 0.004716941024580513, 0.004753961774517967, 0.004792681378862003, 0.004833255780315526, 0.004875872795313686, 0.004920716031006634, 0.00496787308061672, 0.005017683124755143, 0.005070520880392421, 0.005126822716474836, 0.005187126607447487, 0.005252110839334118, 0.005322643276595168, 0.0053998456071812926, 0.005485169262961393, 0.0055804542653434255, 0.005687853876849486, 0.005809202930914638, 0.0059433424765125194, 0.006077477391455657, 0.006158224960439573, 0.006144391817507941, 0.005874322126503047, 0.005211494628655158, 0.006717091948740162, 0.005386811826279568, 0.006715393470397997, 0.006110791124450443, 0.006631579338111099, 0.004727299582766991, 0.006001823394329061, 0.004788517385573133, 0.005938662567199614, 0.004903664358889277, 0.0060053230922237025, 0.004962014199243119, 0.006005052357885975, 0.004963121050950893, 0.005933061736660481, 0.004911495239439772, 0.005450019552708679, 0.004900701678799287, 0.005255181695202196, 0.004979532723168189, 0.005171929748177036, 0.00500047619592648, 0.005143526907934923, 0.005010208953231888, 0.005134690803485473, 0.005005803915513595, 0.0051131944131720675, 0.004979840175758224, 0.005079007996628957]"
7,"[0, 0.004724512797735606, 0.004796044721532225, 0.004862643664607695, 0.004925560916071935, 0.004985821734988249, 0.005044245561725037, 0.0051014908609288865, 0.005158091139229263, 0.005214485428277083, 0.005271044712934816, 0.005328093449601517, 0.00538591411870964, 0.005444782932647869, 0.0055050158639466116, 0.005566936836541342, 0.005630902275796296, 0.0056973197701597625, 0.005766667462262704, 0.0058395172363657575, 0.005916563407230152, 0.0059986583052313094, 0.006086854924377375, 0.006182451974780045, 0.0062870222445647215, 0.00640234691398457, 0.006530033681664261, 0.006673190323307371, 0.006722959567821871, 0.006768602787902156, 0.006758830436134345, 0.006839847725372907, 0.0068208501305320355, 0.00741630267245477, 0.007487088992353959, 0.00708291734928709, 0.00648332851762315, 0.006828278907573705, 0.00645686790857124, 0.0067933989541425635, 0.00643044947226734, 0.006772405574285297, 0.00638399556817097, 0.006741899039857625, 0.006322123089557736, 0.0066722638480616195, 0.006233540612698645, 0.006187256536719251, 0.006188983161814572, 0.006191280450868848, 0.006186819548066861, 0.006164043437724151, 0.006179947727671096, 0.006133806703398437, 0.006166394114138243, 0.006100381897837937, 0.006146977757875403, 0.00606187041183624, 0.006121642549759902, 0.006017410975492362]"
8,"[0, 0.01270039920558706, 0.01250488331005199, 0.012318482329541318, 0.012145469571609701, 0.011987371514912753, 0.01184329207954026, 0.011710900200529461, 0.011587324623955671, 0.011469711001232277, 0.011355473516782264, 0.01124234021334667, 0.011128262474104117, 0.011011632117232648, 0.010890928555577307, 0.01076456091681263, 0.010630796801587206, 0.010487587386202162, 0.010332342087027935, 0.010161623753756227, 0.009970710713228548, 0.009752919876156745, 0.009498441848114134, 0.009192029601413902, 0.008807587457559593, 0.008280751788269711, 0.006907206016919945, 0.005182095874076331, 0.007361736476701442, 0.007302587779052022, 0.007017456839370888, 0.007595705519822001, 0.012409979717641347, 0.013056506567202681, 0.016393185363540664, 0.013470932970037718, 0.01279013151363125, 0.012495119329947886, 0.013136125776371655, 0.012502115369848925, 0.01323600433687266, 0.012494917258743481, 0.013246362583125986, 0.012459425809688193, 0.013201046566391319, 0.012360953651007422, 0.013063045595441457, 0.012753924281597247, 0.013255898510618395, 0.012933777576473791, 0.013181728409571221, 0.012922386538256829, 0.013183729595758857, 0.012891876015164169, 0.01316683546860747, 0.012859319531596709, 0.01312994457494495, 0.01281848051783944, 0.013078947307857304, 0.012769628488638302]"
9,"[0, 0.02629233732332836, 0.026319810250133323, 0.026348835601115134, 0.026379326508049437, 0.026411358430302692, 0.026445008757068653, 0.02648037268121889, 0.026517570121632056, 0.026556746147066435, 0.02659806845155845, 0.026641711106465193, 0.026687755267024042, 0.026736481132294793, 0.026788351386690914, 0.026843770086103, 0.02690320196677224, 0.026967212061845016, 0.02703650506366919, 0.027111980681511615, 0.027194815725266608, 0.02728658684500056, 0.02738944986726563, 0.02750638177388986, 0.027641438749035883, 0.02779970270393597, 0.027986274448728657, 0.028213998755578087, 0.028014483763267133, 0.027814972271706952, 0.02736566028782424, 0.027281581309942692, 0.026697703306469974, 0.02770491402012669, 0.01106243196496467, 0.019263041016010788, 0.02401141708876043, 0.0234790307769064, 0.023847216013243064, 0.02334144403234173, 0.023734404621471444, 0.023240771649865623, 0.023609941296595098, 0.02311030127327627, 0.02344436700621525, 0.02290865689592089, 0.023161774268883193, 0.022848509364857345, 0.023115930677035063, 0.02284784158116971, 0.0231122031892693, 0.022823962083023747, 0.023068694005613045, 0.02277362834906741, 0.02300361689152346, 0.022704415457247884, 0.022919040693022415, 0.02261831675005254, 0.02281787404107706, 0.02251872359094279]"
